Taxa;Fish_FreshDiet;Fish_ConditionedDiet;Fish_AnteriorMidgut;Fish_MiddleMidgut;Fish_PosteriorMidgut;VegMix_FreshDiet;VegMix_ConditionedDiet;VegMix_AnteriorMidgut;VegMix_MiddleMidgut;VegMix_PosteriorMidgut;Standard_FreshDiet;Standard_ConditionedDiet;Standard_AnteriorMidgut;Standard_MiddleMidgut;Standard_PosteriorMidgut;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Micrococcaceae;g__Kocuria";0.000666666;0;0;0;0;0.014791667;0.017333333;0;0.000125;0;0;0;0;0;4.16666E-05;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Micrococcaceae;g__Micrococcus";0.000333333;0;0;0;0;0.000166667;0.000541667;4.16666E-05;0;8.33332E-05;0;0;0;0;0.000125;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Micrococcaceae;g__Nesterenkonia";0;0;0;0;0;0;8.33334E-05;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Micrococcaceae;g__Renibacterium";0.000291667;0;0;0;0;4.16666E-05;8.33334E-05;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Micrococcaceae;g__Rothia";0.001291667;0;0;0;0;0.002541667;0.001041667;4.16666E-05;4.16666E-05;0.000416667;8.33332E-05;0;0.000166667;0.000291667;0.000375;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Mycobacteriaceae;g__Mycobacterium";0.000208333;0;0;4.16666E-05;0;0.000125;0.006875;0;0;4.16666E-05;0;4.16666E-05;0;0.000125;0.000208333;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Nakamurellaceae";8.33332E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Nocardiaceae;g__Nocardia";0;0;0;0;0;0.000125;0;0;0;0;0.000125;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Nocardiaceae;g__Rhodococcus";4.16666E-05;0;0;0;0;4.16666E-05;0;0;0.000125;0.001291667;0.000416667;0.000458333;8.33332E-05;0;0.001291667;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Nocardioidaceae";0.000125;0;0;0;0;4.16666E-05;0;0;0;8.33334E-05;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Nocardioidaceae;g__Nocardioides";8.33334E-05;0;0;0;0;0.001041667;0.001458333;0;0;0;0;0;0;4.16666E-05;4.16666E-05;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Nocardioidaceae;g__Pimelobacter";8.33334E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Nocardioidaceae;g__Propionicimonas";0;0;0;0;8.33334E-05;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Promicromonosporaceae";0;0;0;0;0;0;0;0;8.33334E-05;0;0.000125;0.000208333;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Promicromonosporaceae;g__Cellulosimicrobium";0;0;0;0;0;4.16666E-05;0;4.16666E-05;0.00125;0;0.000916667;0.002041667;0.001166667;0.000625;4.16666E-05;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Propionibacteriaceae";8.33334E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Propionibacteriaceae;g__Microlunatus";0;0;0;0;0;0;0;0;0;4.16666E-05;0;0;0;0;0;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Propionibacteriaceae;g__Propionibacterium";0.000125;0;0;0;0;0.002458333;0.003458333;4.16666E-05;4.16666E-05;0.000333333;8.33334E-05;0;0;0.000125;0.000333333;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Pseudonocardiaceae";8.33334E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;4.16666E-05;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Pseudonocardiaceae;g__Pseudonocardia";0.000166667;0;0;4.16666E-05;0;0.000291667;0.000791667;0;0;0.001083333;0;0;0;0.000416667;0.000666667;;;;;;;;;;;;;
"Actinobacteria;c__Actinobacteria;f__Rarobacteraceae;g__Rarobacter";0;0;0;0;0;0;0;0;4.16666E-05;0;8.33332E-05;0.000125;0;0;0;;;;;;;;;;;;;
